balance,description,image,image_alt,model_auto,navigation_categories,price,producer,product_url,title
,"Вкладыши коренные 0,75 (кт.) без упорных подшипников -07 ""ПРЕМИУМ""  ",,,ВАЗ-2101,,"506,10",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши коренные 0,75 (кт.) без упорных подшипников -10, Калина, Приора  ",,,ВАЗ-2108,,"376,95",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши коренные 0,75 (кт.) без упорных подшипников -10, Калина, Приора ""ПРЕМИУМ""  ",,,ВАЗ-2108,,"532,35",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши коренные 1,0 (кт.) без упорных подшипников -07  ",,,ВАЗ-2101,,"375,90",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Вкладыши шатунные ст. (кт.) -10 (фирм.упак. Лада-Имидж)  ,,,ВАЗ-2101,,"324,45",LADA ООО &quot;Дайдо Металл Русь&quot;,,
,"Гидрокомпенсатор 4,2123 нов.обр. (с втулкой в сборе)  кт. 8 шт. Riginal  ",,,ВАЗ-2121,,"2 933,03",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши коренные 1,0 (кт.)  09 2110, Калина, Приора  ",,,ВАЗ-2108,,"304,50",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши шатунные ст. (кт.) ВАЗ-2180 Vesta, X-Ray  ",,,,,"1 248,45",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Гидрокомпенсатор 4,2123 нов.обр. (с втулкой в сборе) Riginal  ",,,ВАЗ-2121,,"377,31",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши коренные 1,25 (кт.) -2107, 2121, 2123  ",,,ВАЗ-2101,,"375,90",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка гидрокомпенсатора 4 (ВПК)  ,,,ВАЗ-2121,,"578,55",LADA &lt;&gt;,,
,Головка блока ВАЗ-1118 для дв.V-1600 8 кл. клапаненая (ВАЗ)  ,,,,,"19 190,45",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши коренные 1,5 (кт.) -2107, 2121, 2123  ",,,ВАЗ-2101,,"330,75",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Вкладыши коренные ст. (кт.) без упорных подшипников -07  ,,,ВАЗ-2101,,"391,65",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка гидрокомпенсатора 4 (ОАО АВТОВАЗ)  ,,,ВАЗ-2121,,"122,85",LADA Вологодская подшипниковая корпорация (ВПК),,
,"Головка блока ВАЗ-1118,2115 голая  для дв. V-1600 8 кл. (ОАО АВТОВАЗ)  ",,,,,"11 856,60",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши коренные ст. (кт.) без упорных подшипников -07 ""ПРЕМИУМ""  ",,,ВАЗ-2101,,"700,35",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка грибка  м/насоса -07 (ОАО АВТОВАЗ)  ,,,ВАЗ-2101,,"131,25",LADA АВТОВАЗ АО г. Тольятти,,
,"Головка блока ВАЗ-1118,2190 дв.V-1600 мод. 11186 8 кл. в сборе (фирм. упак. LADA) (под терм. 2190)  ",,,,,"22 015,35",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши коренные ст. (кт.) без упорных подшипников -10, Калина, Приора  ",,,ВАЗ-2108,,"411,60",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка дистанционная натяжителя ремня ВАЗ 1118  ,,,,,"10,51",LADA Лада-Имидж ЗАО,,
,"Головка блока ВАЗ-1118,2190,2192,2170 1,6л  8 кл. (ОАО АВТОВАЗ)  ",,,,,"14 564,55",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши коренные ст. (кт.) без упорных подшипников -10, Калина, Приора ""ПРЕМИУМ""  ",,,ВАЗ-2108,,"730,80",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка кожуха ГРМ -099  ,,,ВАЗ-2108,,"22,32",LADA БРТ ПАО,,
,"Головка блока ВАЗ-1119 голая для дв. 1,4 л 16 кл. (ОАО АВТОВАЗ)  ",,,,,"18 629,10",LADA АВТОВАЗ АО г. Тольятти,,
,Вкладыши коренные ст. (кт.) ВАЗ-1111 Ока  ,,,,,"334,95",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка кожуха ГРМ -099 БРТ  ,,,ВАЗ-2108,,"18,41",БРТ БРТ ПАО,,
,Головка блока ВАЗ-1119 для дв.V-1400 16 кл.в сборе(клапана+распредвалы+гидрокомп.) (ВАЗ)  ,,,,,"43 080,63",RIGINAL ООО ПКФ Ниагара,,
,Вкладыши коренные ст. (кт.) -07 (фирм.упак. Лада-Имидж)  ,,,ВАЗ-2101,,"420,00",LADA ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка кожуха ГРМ   ,,,ВАЗ-2112,,"13,17",LADA БРТ ПАО,,
,Головка блока ВАЗ-1119 для дв.V-1400 16 кл.клапаненая (ВАЗ)---  ,,,,,"27 983,60",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши шатунные 0,05 (кт.) ВАЗ-1118,2170,2190  ",,,,,"1 099,35",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулка кожуха ГРМ  1,5 л (ОАО АВТОВАЗ)  ",,,ВАЗ-2112,,"49,57",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока 1 в сборе (клапана+распредвал) (ВАЗ)  ,,,ВАЗ-2101,,"24 840,56",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши шатунные 0,05 (кт.) ВАЗ-11194   ",,,Приора,,"984,90",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Втулка кожуха ГРМ 4 1,6 л (ОАО АВТОВАЗ)  ",,,ВАЗ-2112,,"101,65",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока 1 голая (ОАО АВТОВАЗ)  ,,,ВАЗ-2101,,"11 347,35",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока 1 клапаненая (ВАЗ)  ,,,ВАЗ-2101,,"18 318,37",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши шатунные 0,05 (кт.) -10  ",,,ВАЗ-2101,,"300,30",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши шатунные 0,05 (кт.) -10  ",,,ВАЗ-2101,,"339,15",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,Втулка кожуха ГРМ ВАЗ-2170-2192 (ОАО АВТОВАЗ)  ,,,,,"53,18",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока  инж. голая (ОАО АВТОВАЗ)  ,,,ВАЗ-2107,,"11 347,35",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,25 (кт.) ВАЗ-1118,2170,2190  ",,,,,"1 099,35",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулка кронштейна генератора ВАЗ-2110-12,2170 (16 кл.) (ОАО АВТОВАЗ)  ",,,,,"86,87",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока  инж.клапаненая ( ВАЗ)  ,,,ВАЗ-2107,,"18 895,01",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши шатунные 0,25 (кт.) ВАЗ-11184  ",,,,,"1 649,75",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка кронштейна натяжителя ВАЗ-1118 (пластик) (ОАО АВТОВАЗ)  ,,,,,"7,88",LADA МегаПласт ЗАО г. Тольятти,,
,"Головка блока 3 1,5 л 8 кл в сборе(клапана+распредвал) (карбюр.)(ВАЗ)  ",,,ВАЗ-2108,,"24 679,20",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши шатунные 0,25 (кт.) ВАЗ-11194   ",,,Приора,,"968,10",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка кронштейна натяжителя ВАЗ-1118 распорная метал. (ОАО АВТОВАЗ)  ,,,,,"66,02",LADA АВТОВАЗ АО г. Тольятти,,
,"Головка блока 3 голая 1,5 л 8 кл. (ОАО АВТОВАЗ)  ",,,ВАЗ-2108,,"12 531,75",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,25 (кт.) -09 2110  ",,,ВАЗ-2101,,"318,15",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши шатунные 0,25 (кт.) -09 2110 ""ПРЕМИУМ""  ",,,ВАЗ-2101,,"536,55",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка масляного клапана ГБЦ  (ОАО АВТОВАЗ)  ,,,ВАЗ-2112,,"82,92",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока -15 дв. 11183 V-1600 8 кл. в сборе (фирм. упак. LADA)  ,,,ВАЗ-2113,,"22 015,35",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,25 (кт.) -09 2110 (фирм.упак. Лада-Имидж)  ",,,ВАЗ-2101,,"339,15",LADA ООО &quot;Дайдо Металл Русь&quot;,,
,"Втулка направляющая впускного клапана  (+0,02) (ОАО АВТОВАЗ)  ",,,ВАЗ-2101,,"58,68",LADA АВТОВАЗ АО г. Тольятти,,
,"Головка блока -15,2110-12,1118 дв. 1,6 8 кл.  (ОАО АВТОВАЗ)  ",,,ВАЗ-2113,,"14 564,55",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,25 (кт.) ВАЗ-2180 Vesta, X-Ray  ",,,,,"1 248,45",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулка направляющая впускного клапана  (+0,22) (ОАО АВТОВАЗ)  ",,,ВАЗ-2101,,"58,68",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока 3 голая (ОАО АВТОВАЗ)  ,,,ВАЗ-2121,,"11 516,40",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,5 (кт.) ВАЗ-11194   ",,,Приора,,"984,90",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Втулка направляющая впускного клапана  (+0,02) (ОАО АВТОВАЗ)  ",,,ВАЗ-2108,,"58,68",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока ВАЗ-2123 нов. обр.  (ОАО АВТОВАЗ)  ,,,,,"11 518,50",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,5 (кт.) -10  ",,,ВАЗ-2101,,"300,30",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Втулка направляющая впускного клапана  (+0,22) (ОАО АВТОВАЗ)  ",,,ВАЗ-2108,,"58,60",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока ВАЗ-2123 нов.обр.в сборе (клапана+распредвал+гидрокомп.) с отверстием дат.фаз(ВАЗ)  ,,,,,"35 102,60",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши шатунные 0,5 (кт.) -10  ",,,ВАЗ-2101,,"339,15",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулка направляющая выпускного клапана  (+0,02) (ОАО АВТОВАЗ)  ",,,ВАЗ-2101,,"63,27",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока ВАЗ-2123 нов.обр.клапаненая с отверстием дат.фаз (ВАЗ)  ,,,,,"19 076,55",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши шатунные 0,5 (кт.) -10 ""ПРЕМИУМ""  ",,,ВАЗ-2101,,"410,55",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши шатунные 0,50 (кт.) ВАЗ-1118,2170,2190  ",,,,,"1 099,35",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулка направляющая выпускного клапана  (+0,22) (ОАО АВТОВАЗ)  ",,,ВАЗ-2101,,"63,27",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока ВАЗ-2130 (инж.) голая (ОАО АВТОВАЗ)  ,,,,,"11 268,60",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,50 (кт.) ВАЗ-2180 Vesta, X-Ray  ",,,,,"1 248,45",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулка направляющая выпускного клапана  (+0,02) (ОАО АВТОВАЗ)  ",,,ВАЗ-2108,,"63,27",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока ВАЗ-2170 голая дв.21126 16кл. 1.6 л 98л.с (ОАО АВТОВАЗ)  ,,,,,"17 054,10",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,75 (кт.) ВАЗ-1118,2170,2190  ",,,,,"1 099,35",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулка направляющая выпускного клапана  (+0,22) (ОАО АВТОВАЗ)  ",,,ВАЗ-2108,,"63,27",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока ВАЗ-2170 дв.V-1600 мод. 21116 8 кл. в сборе (фирм. упак. LADA) (под термост.21082)  ,,,,,"21 541,80",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,75 (кт.) ВАЗ-11194   ",,,Приора,,"1 016,40",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка регулир. рычага клапана -07 (ОАО АВТОВАЗ)  ,,,ВАЗ-2101,,"56,31",LADA АВТОВАЗ АО г. Тольятти,,
,Втулка упорная болта механизма натяжения ВАЗ-2123  ,,,,,"64,56",LADA Волжский машиностроительный завод г.Тольятти,,
,Головка блока ВАЗ-2170 дв.V-1600 мод. 21126  в сборе (фирм. упак. LADA)  ,,,,,"30 487,80",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,75 (кт.) -10  ",,,ВАЗ-2101,,"318,15",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши шатунные 0,75 (кт.) -10  ",,,ВАЗ-2101,,"339,15",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,Втулка установочная ГБЦ ВАЗ (ОАО АВТОВАЗ)  ,,,,,"35,18",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока ВАЗ-2170 дв.V-1600 мод. 21126 16 кл. в сборе (фирм. упак. LADA)  ,,,,,"30 482,55",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 0,75 (кт.) -10 ""ПРЕМИУМ""  ",,,ВАЗ-2101,,"410,55",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши шатунные 1,0 (кт.) -10  ",,,ВАЗ-2101,,"282,45",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Втулка установочная картера сцепления -2170,1118-19 (ОАО АВТОВАЗ)  ",,,ВАЗ-2101,,"37,58",LADA АВТОВАЗ АО г. Тольятти,,
,"Головка блока ВАЗ-2170,2190 дв.V-1600 мод. 21116 8 кл. в сборе (фирм. упак. LADA)(под термост.2190)  ",,,,,"22 015,35",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 1,0 (кт.) -10  ",,,ВАЗ-2101,,"339,15",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Вкладыши шатунные 1,00 (кт.) ВАЗ-1118,2170,2190  ",,,,,"1 099,35",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулка установочная корпуса распредвала -07,2121-2123 (ОАО АВТОВАЗ)  ",,,ВАЗ-2101,,"32,60",LADA АВТОВАЗ АО г. Тольятти,,
,Головка блока ВАЗ-2190 дв.V-1600 8 кл. в сборе (фирм. упак. LADA) (дв.11183 под термостат 2190)  ,,,,,"22 015,35",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 1,00 (кт.) ВАЗ-11194   ",,,Приора,,"743,40",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Втулка установочная кронштейна генератора ВАЗ-2110-12,2170 (ОАО АВТОВАЗ)  ",,,,,"66,85",LADA АВТОВАЗ АО г. Тольятти,,
,"Датчик абсолютного давления ВАЗ 2190-2194, Lada Vesta (15-) 1.6i KRAFT  ",,,,,"547,05",KRAFT OberKraft,,
,"Вкладыши шатунные 1,25 (кт.) -10  ",,,ВАЗ-2101,,"324,45",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Вкладыши шатунные 1,25 (кт.) -2107, 2121, 2123 1,25  ",,,ВАЗ-2101,,"282,45",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка шпильки крышки клапанов -09  ,,,ВАЗ-2108,,"19,75",LADA БРТ ПАО,,
,Двигатель в сборе LADA Largus/Лада Ларгус 16кл. P4M (АвтоВАЗ)  ,,,,,"214 846,80",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 1,5 (кт.) -2107, 2121, 2123 1,5  ",,,ВАЗ-2101,,"256,20",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка шпильки крышки клапанов -09 (БРТ)  ,,,ВАЗ-2108,,"14,64",БРТ БРТ ПАО,,
,Двигатель ВАЗ 11186 (60) (ОАО АВТОВАЗ)  ,,,,,"132 897,45",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные 1,50 (кт.) -10  ",,,ВАЗ-2101,,"324,45",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Втулки направляющие клапанов -07,2121-21213 (+0,02) (компл. 8 шт.) (фирм. упак. LADA)  ",,,ВАЗ-2101,,"370,65",LADA АВТОВАЗ ОАО,,
,"Двигатель ВАЗ 11194 (V-1400) """" Евро-4 (E-GAS) (ОАО АВТОВАЗ)  ",,,Калина,,"136 433,85",LADA АВТОВАЗ АО г. Тольятти,,
,Вкладыши шатунные ст. (кт.) ВАЗ (дв. форсированный)  ,,,,,"1 795,00",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Втулки направляющие клапанов -07,2121-21213 (+0,22) (компл. 8 шт.) (фирм. упак. LADA)  ",,,ВАЗ-2101,,"353,85",LADA АВТОВАЗ ОАО,,
,"Двигатель ВАЗ 11194 (V-1400) """" Евро-4 (ОАО АВТОВАЗ)  ",,,Калина,,"130 037,25",LADA АВТОВАЗ АО г. Тольятти,,
,Вкладыши шатунные ст. (кт.) ВАЗ-1111 Ока  ,,,,,"183,75",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Втулки направляющие клапанов -15 (8 кл.) (+0,02) (компл. 8 шт.) (фирм. упак. LADA)  ",,,ВАЗ-2108,,"375,90",LADA АВТОВАЗ ОАО,,
,Двигатель ВАЗ 2103 (V-1500) (ОАО АВТОВАЗ)  ,,,,,"73 093,65",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные ст. (кт.) ВАЗ-1118,2170,2190 (фирм. упак. LADA)  ",,,,,"976,50",LADA АВТОВАЗ ОАО,,
,"Втулки направляющие клапанов -15 (8 кл.) (+0,22) (компл. 8 шт.) (фирм. упак. LADA)  ",,,ВАЗ-2108,,"358,05",LADA АВТОВАЗ ОАО,,
,"Двигатель ВАЗ 2104-07 инжектор. (V-1500) (без генератора, помпы, ремня) (ОАО АВТОВАЗ)  ",,,,,"72 967,65",LADA АВТОВАЗ АО г. Тольятти,,
,Вкладыши шатунные ст. (кт.) ВАЗ-11194   ,,,Приора,,"219,45",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Гайка клапанной крышки -15 (глухая)  ,,,ВАЗ-2108,,"13,55",LADA Белебеевский з-д АВТОНОРМАЛЬ,,
,"Двигатель ВАЗ 2106 (V-1600) (карб. с микроперекл.,без генератора,ремня, помпы) (ОАО АВТОВАЗ)  ",,,,,"73 093,65",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные ст. (кт.) ВАЗ-11194,21116-21127  ",,,,,"321,30",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,Гайка коленвала  (ОАО АВТОВАЗ)  ,,,ВАЗ-2105,,"86,01",LADA ЗИП (Завод индустриальных покрытий) ООО г.Тольятти,,
,Двигатель ВАЗ 2106 (V-1600) (ОАО АВТОВАЗ)  ,,,,,"74 166,75",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши шатунные ст. (кт.) -09 2110 ""ПРЕМИУМ""  ",,,ВАЗ-2101,,"536,55",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Гайка коленвала ВАЗ-2123  ,,,,,"133,35",LADA Джи Эм-Автоваз,,
,Двигатель ВАЗ 21067 (V-1600) инжектор. (ОАО АВТОВАЗ)  ,,,,,"83 061,30",LADA АВТОВАЗ АО г. Тольятти,,
,Вкладыши шатунные ст. (кт.) -10  ,,,ВАЗ-2101,,"318,15",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Гайка крепления натяжного ролика ВАЗ-2123  ,,,,,"20,03",LADA БелЗАН (АвтоНормаль) ОАО г. Белебей,,
,"Двигатель ВАЗ 21083 (V-1500) (карб., без генератора) (ОАО АВТОВАЗ)  ",,,,,"80 851,05",LADA АВТОВАЗ АО г. Тольятти,,
,"Гайка М10 коллекторная ВАЗ-2110-12,2170-72  (16-ти кл.)   ",,,,,"16,21",LADA САК ООО г. Белебей,,
,Двигатель ВАЗ 21116 (V-1600) для 2190 8 кл. Евро-4 E-Gas (ОАО АВТОВАЗ)  ,,,,,"113 782,20",LADA АВТОВАЗ АО г. Тольятти,,
,"Гайка М14х1,5 рулевого наконечника ,2107 2120-2130 БелЗан  ",,,ВАЗ-2101,,"8,99",БелЗан БелЗан ОАО,,
,Гайка М8 коллекторная -08 медная БелЗан  ,,,ВАЗ-2101,,"10,32",БелЗан БелЗан ОАО,,
,Двигатель ВАЗ 21126 (V-1600) для 2170 16 кл. (ОАО АВТОВАЗ)  ,,,,,"132 897,45",LADA АВТОВАЗ АО г. Тольятти,,
,Гайка М9х1 болта шатуна а/м ВАЗ  ,,,,,"22,58",БелЗан БелЗан ОАО,,
,Двигатель ВАЗ 21126 (V-1600) для 2170 16 кл. Евро-4 E-Gas (без конд. и усилителя) (ОАО АВТОВАЗ)  ,,,,,"230 818,35",LADA АВТОВАЗ АО г. Тольятти,,
,Гайка регулировочного болта клапана -07 (ОАО АВТОВАЗ)  ,,,ВАЗ-2101,,"36,42",LADA АВТОВАЗ АО г. Тольятти,,
,Двигатель ВАЗ 21126 (V-1600) для 2170 16 кл. Евро-4 E-Gas (с конд.) (ОАО АВТОВАЗ)  ,,,,,"176 622,60",LADA АВТОВАЗ АО г. Тольятти,,
,Гидрокомпенсатор ВАЗ-2110-12 (компл. 16 шт.) (фирм. упак. LADA )  ,,,,,"4 403,70",LADA Лада-Имидж ЗАО,,
,Двигатель ВАЗ 21126 (V-1600) для 2170 16 кл. Евро-5 E-Gas (с конд.)  (ОАО АВТОВАЗ)  ,,,,,"155 377,95",LADA АВТОВАЗ АО г. Тольятти,,
,Гидрокомпенсатор 4 с/о  Riginal  ,,,ВАЗ-2121,,"372,56",RIGINAL ООО ПКФ Ниагара,,
,Двигатель ВАЗ 21213 (V-1700) (ОАО АВТОВАЗ)  ,,,,,"75 454,05",LADA АВТОВАЗ АО г. Тольятти,,
,"Гидрокомпенсатор 4,2123 нов. обр.(шт.) (FERROVAZ) (фирм. упак. LADA)  ",,,ВАЗ-2121,,"378,00",LADA АВТОВАЗ ОАО,,
,Двигатель ВАЗ 21214 (V-1700) инж без ГУРа и генератора Евро-3 (Мех. заслонка)  ,,,,,"94 705,80",LADA АВТОВАЗ АО г. Тольятти,,
,"Гидрокомпенсатор 4,2123 нов. обр.(шт.) (GM-AVTOVAZ)  ",,,ВАЗ-2121,,"340,67",GM Джи Эм-Автоваз,,
,Двигатель ВАЗ 21214 (V-1700) инж с ГУРом Евро-3 (ОАО АВТОВАЗ)  ,,,,,"104 675,55",LADA АВТОВАЗ АО г. Тольятти,,
,"Гидрокомпенсатор 4,2123 нов. обр.(шт.) Riginal  ",,,ВАЗ-2121,,"271,71",RIGINAL ООО ПКФ Ниагара,,
,Двигатель ВАЗ 21214 (V-1700) инж с ГУРом Евро-4/5 (E-Gas) (ОАО АВТОВАЗ)  ,,,,,"106 650,60",LADA АВТОВАЗ АО г. Тольятти,,
,Двигатель ВАЗ 2123 (V-1700) инж. под ГУР (ОАО АВТОВАЗ) (Евро-2)  ,,,,,"128 570,40",LADA АВТОВАЗ АО г. Тольятти,,
